Team,TZ_Original,TZ_Improved,Forbidden_Original,Forbidden_Improved
Boston Celtics,20.0,31.0,1,3
Brooklyn Nets,25.0,28.0,1,2
New York Knicks,25.0,34.0,2,3
Philadelphia 76ers,21.0,25.0,1,1
Toronto Raptors,21.0,7.0,2,0
Cleveland Cavaliers,25.0,28.0,2,3
Detroit Pistons,0.0,0.0,0,0
Indiana Pacers,0.0,0.0,0,0
Miami Heat,13.0,15.0,1,1
Orlando Magic,0.0,0.0,0,0
Washington Wizards,0.0,0.0,0,0
Atlanta Hawks,9.0,9.0,0,0
Charlotte Hornets,0.0,0.0,0,0
Chicago Bulls,13.0,12.0,0,0
Milwaukee Bucks,17.0,17.0,1,1
Houston Rockets,17.0,20.0,0,1
Dallas Mavericks,21.0,19.0,0,0
San Antonio Spurs,0.0,0.0,0,0
New Orleans Pelicans,0.0,0.0,0,0
Memphis Grizzlies,0.0,0.0,0,0
Oklahoma City Thunder,0.0,0.0,0,0
Minnesota Timberwolves,0.0,0.0,0,0
Denver Nuggets,19.0,15.0,1,1
Utah Jazz,0.0,0.0,0,0
Phoenix Suns,32.0,32.0,3,3
Golden State Warriors,44.0,49.0,4,5
Los Angeles Lakers,32.0,25.0,3,1
Los Angeles Clippers,0.0,0.0,0,0
Portland Trail Blazers,0.0,0.0,0,0
Sacramento Kings,0.0,0.0,0,0
AVERAGE,11.8,12.2,22,25
